site_id,source_network,name,latitude,longitude,elevation_m,state,country,start_date,end_date,metadata
ctz01,coagmet,Cortez,37.2246,-108.6725,1833,CO,USA,1992-01-01,,"{""coagmet_raw"": {""active"": ""active"", ""anemometerHeight"": 2.0, ""elevation"": 1833, ""firstObs"": ""1992-01-01"", ""irrigation"": ""full"", ""lastObs"": ""2026-05-07"", ""lat"": 37.2246, ""location"": ""9 mi SW Cortez"", ""lon"": -108.6725, ""name"": ""Cortez"", ""network"": ""Coag"", ""station"": ""ctz01"", ""timestep"": 300, ""units"": ""m""}, ""coagmet_station_id"": ""ctz01""}"
cya01,coagmet,Canyon of the Ancients,37.5009,-108.8155,2036,CO,USA,2022-02-04,,"{""coagmet_raw"": {""active"": ""active"", ""anemometerHeight"": 0.0, ""elevation"": 2036, ""firstObs"": ""2022-02-04"", ""irrigation"": ""full"", ""lastObs"": ""2026-05-09"", ""lat"": 37.5009, ""location"": ""Canyon of the Ancients"", ""lon"": -108.8155, ""name"": ""Canyon of the Ancients"", ""network"": ""Coag"", ""station"": ""cya01"", ""timestep"": 300, ""units"": ""m""}, ""coagmet_station_id"": ""cya01""}"
den01,coagmet,Denver,39.7836,-104.9742,1609,CO,USA,2023-10-25,,"{""coagmet_raw"": {""active"": ""active"", ""anemometerHeight"": 2.0, ""elevation"": 1609, ""firstObs"": ""2023-10-25"", ""irrigation"": ""dry"", ""lastObs"": ""2026-05-09"", ""lat"": 39.7836, ""location"": ""CSU Spur campus, Hydro building rooftop"", ""lon"": -104.9742, ""name"": ""Denver"", ""network"": ""Coag"", ""station"": ""den01"", ""timestep"": 300, ""units"": ""m""}, ""coagmet_station_id"": ""den01""}"
dlr01,coagmet,Dolores,37.4121,-108.5199,2002,CO,USA,2023-05-18,,"{""coagmet_raw"": {""active"": ""active"", ""anemometerHeight"": 2.0, ""elevation"": 2002, ""firstObs"": ""2023-05-18"", ""irrigation"": ""full"", ""lastObs"": ""2026-05-09"", ""lat"": 37.4121, ""location"": ""Dolores"", ""lon"": -108.5199, ""name"": ""Dolores"", ""network"": ""Coag"", ""station"": ""dlr01"", ""timestep"": 300, ""units"": ""m""}, ""coagmet_station_id"": ""dlr01""}"
dlt01,coagmet,Delta,38.7345,-108.1186,1527,CO,USA,1995-04-19,2021-04-21,"{""coagmet_raw"": {""active"": ""inactive"", ""anemometerHeight"": 2.0, ""elevation"": 1527, ""firstObs"": ""1995-04-19"", ""irrigation"": ""part"", ""lastObs"": ""2021-04-21"", ""lat"": 38.7345, ""location"": ""3 mi W Delta"", ""lon"": -108.1186, ""name"": ""Delta"", ""network"": ""Coag"", ""station"": ""dlt01"", ""timestep"": 300, ""units"": ""m""}, ""coagmet_station_id"": ""dlt01""}"
drg01,coagmet,Durango,37.1125,-107.8805,1891,CO,USA,2018-05-30,,"{""coagmet_raw"": {""active"": ""active"", ""anemometerHeight"": 3.0, ""elevation"": 1891, ""firstObs"": ""2018-05-30"", ""irrigation"": ""full"", ""lastObs"": ""2026-05-09"", ""lat"": 37.1125, ""location"": ""11 mi S of Durango"", ""lon"": -107.8805, ""name"": ""Durango"", ""network"": ""Coag"", ""station"": ""drg01"", ""timestep"": 300, ""units"": ""m""}, ""coagmet_station_id"": ""drg01""}"
dvc01,coagmet,Dove Creek,37.7271,-108.9563,2010,CO,USA,1992-10-28,,"{""coagmet_raw"": {""active"": ""active"", ""anemometerHeight"": 2.0, ""elevation"": 2010, ""firstObs"": ""1992-10-28"", ""irrigation"": ""dry"", ""lastObs"": ""2026-05-09"", ""lat"": 37.7271, ""location"": ""4 mi NW Dove Creek"", ""lon"": -108.9563, ""name"": ""Dove Creek"", ""network"": ""Coag"", ""station"": ""dvc01"", ""timestep"": 300, ""units"": ""m""}, ""coagmet_station_id"": ""dvc01""}"
eac01,coagmet,Eastern Adams County,39.7692,-103.7972,1496,CO,USA,2000-07-17,,"{""coagmet_raw"": {""active"": ""active"", ""anemometerHeight"": 2.0, ""elevation"": 1496, ""firstObs"": ""2000-07-17"", ""irrigation"": ""dry"", ""lastObs"": ""2026-05-09"", ""lat"": 39.7692, ""location"": ""10 mi W Last Chance"", ""lon"": -103.7972, ""name"": ""Eastern Adams County"", ""network"": ""Coag"", ""station"": ""eac01"", ""timestep"": 300, ""units"": ""m""}, ""coagmet_station_id"": ""eac01""}"
egl01,coagmet,Eagle,39.6308,-106.782,2101,CO,USA,2019-11-19,,"{""coagmet_raw"": {""active"": ""active"", ""anemometerHeight"": 3.0, ""elevation"": 2101, ""firstObs"": ""2019-11-19"", ""irrigation"": ""full"", ""lastObs"": ""2026-05-09"", ""lat"": 39.6308, ""location"": ""2 mi SE of Eagle"", ""lon"": -106.782, ""name"": ""Eagle"", ""network"": ""Coag"", ""station"": ""egl01"", ""timestep"": 300, ""units"": ""m""}, ""coagmet_station_id"": ""egl01""}"
ekt01,coagmet,Eckert,38.8397,-107.9734,1683,CO,USA,2015-05-07,,"{""coagmet_raw"": {""active"": ""active"", ""anemometerHeight"": 2.0, ""elevation"": 1683, ""firstObs"": ""2015-05-07"", ""irrigation"": ""full"", ""lastObs"": ""2026-05-09"", ""lat"": 38.8397, ""location"": ""0.5 miles west of Eckert, CO"", ""lon"": -107.9734, ""name"": ""Eckert"", ""network"": ""Coag"", ""station"": ""ekt01"", ""timestep"": 300, ""units"": ""m""}, ""coagmet_station_id"": ""ekt01""}"
